DATACODE,RECTYPE,RECYEAR,RECMONTH,RECDAY,WATERSHED,SOILTYPE,TRANSECT,PLOTNUM,LVGRASS,FORBS,CUYRDEAD,PRYRDEAD,WOODY,COMMENTS
PAB02,1,2000,5,15,001a,tu,,01,11.28,0.03,0.01,0.00,0.00,
PAB02,1,2000,5,15,001a,tu,,02,9.08,0.70,0.01,0.00,0.00,
PAB02,1,2000,5,15,001a,tu,,03,11.41,1.66,0.01,0.00,0.00,
PAB02,1,2000,5,15,001a,tu,,04,5.93,0.26,0.00,0.00,0.00,
PAB02,1,2000,5,15,001a,tu,,05,11.44,0.73,0.01,0.00,0.00,
PAB02,1,2000,5,15,001a,tu,,06,8.22,0.86,,0.00,0.00,
PAB02,1,2000,5,15,001a,tu,,07,10.36,0.88,,0.00,0.00,
PAB02,1,2000,5,15,001a,tu,,08,8.10,0.94,0.01,0.00,0.00,
PAB02,1,2000,5,15,001a,tu,,09,8.31,0.88,0.03,0.00,0.00,
PAB02,1,2000,5,15,001a,tu,,10,8.82,0.42,,0.00,0.00,
PAB02,1,2000,5,15,001a,tu,,11,14.98,0.45,0.00,0.00,0.00,
PAB02,1,2000,5,15,001a,tu,,12,10.85,0.91,0.02,0.00,0.00,
PAB02,1,2000,5,15,001a,tu,,13,10.89,0.67,0.02,0.00,0.00,
PAB02,1,2000,5,15,001a,tu,,14,4.31,1.64,0.01,0.00,0.00,
PAB02,1,2000,5,15,001a,tu,,15,11.86,0.69,0.03,0.00,0.09,
PAB02,1,2000,5,15,001a,tu,,16,11.37,0.14,0.01,0.00,0.00,
PAB02,1,2000,5,15,001a,tu,,17,9.89,0.18,0.00,0.00,0.00,
PAB02,1,2000,5,15,001a,tu,,18,10.02,1.68,0.01,0.00,0.00,
PAB02,1,2000,5,15,001a,tu,,19,7.75,0.34,0.01,0.00,0.00,
PAB02,1,2000,5,15,001a,tu,,20,13.10,0.55,0.02,0.00,0.00,
PAB02,1,2000,5,26,001a,tu,,01,20.79,0.28,0.36,0.00,0.00,
PAB02,1,2000,5,26,001a,tu,,02,13.31,5.45,0.02,0.00,0.00,
PAB02,1,2000,5,26,001a,tu,,03,13.86,4.22,0.03,0.00,0.00,
PAB02,1,2000,5,26,001a,tu,,04,15.70,1.73,0.07,0.00,0.00,
PAB02,1,2000,5,26,001a,tu,,05,18.48,1.25,0.28,0.00,3.97,
PAB02,1,2000,5,26,001a,tu,,06,10.89,1.25,0.03,0.00,0.00,
PAB02,1,2000,5,26,001a,tu,,07,10.29,1.38,0.11,0.00,0.08,
PAB02,1,2000,5,26,001a,tu,,08,16.29,1.07,0.04,0.00,0.00,
PAB02,1,2000,5,26,001a,tu,,09,15.56,0.19,0.13,0.00,0.00,
PAB02,1,2000,5,26,001a,tu,,10,15.22,0.08,0.17,0.00,0.00,
PAB02,1,2000,5,26,001a,tu,,11,18.80,0.96,0.19,0.00,0.00,
PAB02,1,2000,5,26,001a,tu,,12,27.40,0.62,0.14,0.00,0.00,
PAB02,1,2000,5,26,001a,tu,,13,10.39,1.16,0.27,0.00,0.00,
PAB02,1,2000,5,26,001a,tu,,14,17.11,1.80,0.04,0.00,0.00,
PAB02,1,2000,5,26,001a,tu,,15,17.74,0.49,0.14,0.00,0.00,
PAB02,1,2000,5,26,001a,tu,,16,20.46,0.20,0.07,0.00,10.74,
PAB02,1,2000,5,26,001a,tu,,17,13.03,0.12,0.16,0.00,12.78,
PAB02,1,2000,5,26,001a,tu,,18,15.84,1.22,0.05,0.00,4.15,
PAB02,1,2000,5,26,001a,tu,,19,18.36,0.78,0.35,0.00,0.00,
PAB02,1,2000,5,26,001a,tu,,20,23.54,0.82,0.27,0.00,0.00,
PAB02,1,2000,6,12,001a,tu,,01,23.44,0.42,0.58,0.00,0.00,
PAB02,1,2000,6,12,001a,tu,,02,26.31,7.98,1.32,0.00,0.00,
PAB02,1,2000,6,12,001a,tu,,03,29.55,5.47,1.36,0.00,0.00,
PAB02,1,2000,6,12,001a,tu,,04,28.53,4.35,1.06,0.00,0.00,
PAB02,1,2000,6,12,001a,tu,,05,27.48,1.92,1.04,0.00,0.00,
PAB02,1,2000,6,12,001a,tu,,06,18.53,2.48,0.36,0.00,0.00,
PAB02,1,2000,6,12,001a,tu,,07,21.28,1.84,0.64,0.00,4.75,
PAB02,1,2000,6,12,001a,tu,,08,29.51,1.13,0.98,0.00,0.00,
PAB02,1,2000,6,12,001a,tu,,09,27.78,2.15,1.08,0.00,0.00,
