RECYEAR,RECMONTH,RECDAY,WATERSHED,SOILTYPE,TRANSECT,PLOTNUM,LVGRASS,FORBS,CUYRDEAD,PRYRDEAD,WOODY
2000,9,8,001d,fl,a ,1,37.19,0,17.69,0,0
2000,9,8,001d,fl,a ,2,24.2,2.08,9.05,0,0
2000,9,8,001d,fl,a ,3,21.1,0.23,11.55,0,0
2000,9,8,001d,fl,a ,4,20.19,1.34,10.95,0,0
2000,9,8,001d,fl,a ,5,18.24,11.46,7.48,0,0
2000,9,7,001d,fl,b ,1,19,2.83,7.86,0,0
2000,9,7,001d,fl,b ,2,14.31,1.22,4.98,0,0
2000,9,7,001d,fl,b ,3,19.27,6.3,9.03,0,0
2000,9,7,001d,fl,b ,4,26.18,0.87,8.87,0,0
2000,9,7,001d,fl,b ,5,19.79,2.56,9.86,0,0
2000,9,8,001d,fl,c ,1,28.18,0.55,14.24,0,0
2000,9,8,001d,fl,c ,2,18.25,1.82,5.82,0,0
2000,9,8,001d,fl,c ,3,23.58,0,7.73,0,0
2000,9,8,001d,fl,c ,4,32.83,0.3,2.64,0,0
2000,9,8,001d,fl,c ,5,22.84,1.38,7.71,0,0
2000,9,8,001d,fl,d ,1,27.86,1.04,8.46,0,0
2000,9,8,001d,fl,d ,2,22.19,1.07,10.07,0,0
2000,9,8,001d,fl,d ,3,33.99,1.29,18.32,0,0.22
2000,9,8,001d,fl,d ,4,18.64,6.76,7.34,0,0
2000,9,8,001d,fl,d ,5,16.1,3.71,10.04,0,0
2000,9,7,001d,sl,a ,1,23.7,0.25,4.11,0,0
2000,9,7,001d,sl,a ,2,22.57,0,11.87,0,0
2000,9,7,001d,sl,a ,3,26.42,14.21,10.57,0,0
2000,9,7,001d,sl,a ,4,26.38,0,10.13,0,0
2000,9,7,001d,sl,a ,5,30.76,0,8.72,0,0
2000,9,7,001d,sl,b ,1,30.96,0.14,13.03,0,0
2000,9,7,001d,sl,b ,2,39.53,0.64,19.21,0,0
2000,9,7,001d,sl,b ,3,27.65,0.71,14.01,0,0
2000,9,7,001d,sl,b ,4,24.67,0,11.19,0,0
2000,9,7,001d,sl,b ,5,20.73,0,7.05,0,0
2000,9,7,001d,sl,c ,1,16.81,0,8.69,0,0
2000,9,7,001d,sl,c ,2,29.15,0,11.59,0,0
2000,9,7,001d,sl,c ,3,31.99,0.5,18.5,0,0
2000,9,7,001d,sl,c ,4,31.22,0,16.55,0,0
2000,9,7,001d,sl,c ,5,12.72,0.64,4.81,0,0
2000,9,7,001d,sl,d ,1,22.16,0,11.36,0,0
2000,9,7,001d,sl,d ,2,18.79,0.24,4.17,0,0.63
2000,9,7,001d,sl,d ,3,20.99,0.17,6.04,0,0
2000,9,7,001d,sl,d ,4,18.53,0,7.5,0,0
2000,9,7,001d,sl,d ,5,32.84,0.45,13.63,0,25.36
2000,9,8,001d,tu,a ,1,47.21,0.06,30.29,0,0
2000,9,8,001d,tu,a ,2,39.82,11.39,12.85,0,0
2000,9,8,001d,tu,a ,3,40.95,0.6,13.98,0,0
2000,9,8,001d,tu,a ,4,47.07,0,12.95,0,0
2000,9,8,001d,tu,a ,5,28.45,0.02,10.96,0,0
2000,9,8,001d,tu,b ,1,44.08,1.22,18.78,0,0
2000,9,8,001d,tu,b ,2,47.19,0,30.15,0,0
2000,9,8,001d,tu,b ,3,33.38,0,13.75,0,0
2000,9,8,001d,tu,b ,4,43.15,0,17.88,0,0
2000,9,8,001d,tu,b ,5,35.26,1.83,20.18,0,0
2000,9,8,001d,tu,c ,1,88.62,0,17.63,0,0
2000,9,8,001d,tu,c ,2,33.65,0,16.61,0,0
2000,9,8,001d,tu,c ,3,29.29,0.01,14.26,0,0
2000,9,8,001d,tu,c ,4,28.73,0.73,15.91,0,0
2000,9,8,001d,tu,c ,5,45.6,0.01,13.2,0,0
2000,9,8,001d,tu,d ,1,46.77,0,18.33,0,0
2000,9,8,001d,tu,d ,2,34.18,8.76,12.84,0,0
2000,9,8,001d,tu,d ,3,37.87,0,18.15,0,0
